github_repo_url	repo_description	topics	owner_repo_name	owner_name	owner_type	organization_bio	repo_created_day	primary_language_name	license_name	is_github_pages	has_readme	has_wiki	has_merged_prs	has_issues	has_contributor_guide	has_code_of_conduct	count_of_public_forks	count_of_stars	count_of_watchers	count_distinct_contributors	count_contributions	count_commits	count_commit_comments	count_created_issues	count_pull_requests_created	count_pull_requests_reviews	count_comments_on_issues_and_pull_requests
https://github.com/veaba/ncov	focus on wuhan 2019-ncov, data visualization, to help analyze the epidemic situation.  may the world be well. 关注武汉肺炎，数据可视化，以提供帮助分析疫情。 愿世界安好。		veaba/ncov	veaba	User		2020-01-20	JavaScript		FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	0	0	0	2	4	3	0	1	0	0	0
https://github.com/iuming/Coronavirus	some papers on coronavirus！		iuming/Coronavirus	iuming	User		2020-01-20			FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	0	0	0	1	9	9	0	0	0	0	0
https://github.com/artic-network/artic-ncov2019	artic nanopore protocol for ncov2019 novel coronavirus		artic-network/artic-ncov2019	artic-network	Organization	this is the articnetwork project, a wellcome trust funded project to provide a system for real-time genomic epidemiology of virus outbreaks.	2020-01-20			FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	0	0	0	1	3	3	0	0	0	0	0
https://github.com/greatcodeeer/2019-nCoV	武汉肺炎 - 2019-ncov		greatcodeeer/2019-nCoV	greatcodeeer	User		2020-01-20			FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	2	1	1	1	13	13	0	0	0	0	0
https://github.com/lbj96347/2020-new-coronavirus-live-map	base on china official news to pop up new coronavirus cases on map.  基于中国官方新闻公布数据，绘制新型冠状病毒案例于地图上。		lbj96347/2020-new-coronavirus-live-map	lbj96347	User		2020-01-20	JavaScript		FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	0	0	0	1	2	2	0	0	0	0	0
