github_repo_url	repo_description	topics	owner_repo_name	owner_name	owner_type	organization_bio	repo_created_day	primary_language_name	license_name	is_github_pages	has_readme	has_wiki	has_merged_prs	has_issues	has_contributor_guide	has_code_of_conduct	count_of_public_forks	count_of_stars	count_of_watchers	count_distinct_contributors	count_contributions	count_commits	count_commit_comments	count_created_issues	count_pull_requests_created	count_pull_requests_reviews	count_comments_on_issues_and_pull_requests
https://github.com/veaba/ncov	【截止2020年1月26日 10时, 1989例，一边录入统计数据一边手在抖】。关注武汉肺炎2019新型冠状病毒（2019-ncov），数据可视化感染人群热点图、迁徙扩散轨迹，以提供帮助分析疫情。 愿世界安好。focus on wuhan 2019-ncov, data visualization, to help analyze the epidemic situation.  may the world be well. (在开发实时弹幕通报消息功能，数据可能不及时更新，请谅解~)	2019-ncov, ncov-data-visual, ncov, data-visualization	veaba/ncov	veaba	User		2020-01-20	JavaScript		TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	13	114	114	13	110	64	0	12	0	0	34
https://github.com/BlankerL/DXY-2019-nCoV-Crawler	2019新型冠状病毒疫情实时爬虫		BlankerL/DXY-2019-nCoV-Crawler	BlankerL	User		2020-01-21	Python	mit	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	17	102	101	13	75	29	1	8	2	0	35
https://github.com/sangyx/nCoV-Map	ncov-map：新型肺炎疫情地图	ncov-map, ncov-data-visual, 2019-ncov	sangyx/nCoV-Map	sangyx	User		2020-01-22	CSS	mit	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	9	46	46	11	36	18	0	6	1	0	11
https://github.com/thegreatjavascript/2019-nCoV-News	2019-ncov疫情实时播报🅥｜墙内传播版（请广泛传播）	2019ncov	thegreatjavascript/2019-nCoV-News	thegreatjavascript	Organization	make javascript great again	2020-01-23	Vue	mit	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	4	54	54	10	71	27	0	9	0	0	35
https://github.com/antonlukin/2019-nCoV	wuhan coronavirus outbreak	wuhan-coronavirus-outbreak, coronavirus	antonlukin/2019-nCoV	antonlukin	User		2020-01-25	HTML	mit	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	0	3	3	7	31	16	0	4	0	0	11
https://github.com/Contributors-of-anti-2019-nCoV/2019-nCoV	collections about 2019-ncov, includes papers, stickers, news, etc.		Contributors-of-anti-2019-nCoV/2019-nCoV	Contributors-of-anti-2019-nCoV	Organization		2020-01-22			FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	2	12	12	6	26	15	1	3	1	0	6
https://github.com/easychen/nCoV-push	ncov疫情实时播报推送脚本。数据基于丁香园。		easychen/nCoV-push	easychen	User		2020-01-23	PHP	mit	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	15	39	39	6	16	3	0	4	1	0	8
https://github.com/theleadio/coronatracker	keeps track of the development of wuhan corona virus		theleadio/coronatracker	theleadio	Organization	""	2020-01-25	Python		FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	3	14	14	6	26	24	0	0	2	0	0
https://github.com/tartsun/anti2019-nCoV	standing with wuhan. 		tartsun/anti2019-nCoV	tartsun	User		2020-01-23	Java	gpl-3.0	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	3	0	0	5	55	54	0	0	1	0	0
https://github.com/ZhangMingZhao1/2019nCoV-Virus-MapMonitor	2019-2020 新型肺炎病毒地图可视化监测（数据爬虫实时采集），并提供了一个爬虫数据接口		ZhangMingZhao1/2019nCoV-Virus-MapMonitor	ZhangMingZhao1	User		2020-01-21	JavaScript		TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	1	16	16	4	19	13	0	3	0	0	3
https://github.com/reichlab/ncov	analyses related to ncov-2020 outbreak		reichlab/ncov	reichlab	Organization	""	2020-01-24	TeX	cc0-1.0	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	0	0	0	3	11	11	0	0	0	0	0
https://github.com/jriou/wcov	pattern of early human-to-human transmission of wuhan 2019-ncov		jriou/wcov	jriou	User		2020-01-21	TeX		FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	3	18	18	3	45	43	0	1	0	0	1
https://github.com/Support-WuHan/Online-Doctors-Info	引用华中科大同济医院的话” 轻症患者即时起可居家远程咨询”。希望全国更多的远程医疗平台建立起来。不仅可以为武汉提供更多的医疗支撑，也可以避免轻症患者前往医院交叉感染。全国的白衣天使可以在家提供宝贵的专业知识帮助病人的同时，没有被感染的危险。保护医护人员就是保护我们大家！ forked from: http://www.xn--cesp9b.net/	wuhan, online-support, 2019-ncov	Support-WuHan/Online-Doctors-Info	Support-WuHan	Organization		2020-01-26			FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	1	2	2	3	46	45	0	0	1	0	0
