github_repo_url	repo_description	topics	owner_repo_name	owner_name	owner_type	organization_bio	repo_created_day	primary_language_name	license_name	is_github_pages	has_readme	has_wiki	has_merged_prs	has_issues	has_contributor_guide	has_code_of_conduct	count_of_public_forks	count_of_stars	count_of_watchers	count_distinct_contributors	count_contributions	count_commits	count_commit_comments	count_created_issues	count_pull_requests_created	count_pull_requests_reviews	count_comments_on_issues_and_pull_requests
https://github.com/gangjun06/nCovNow			gangjun06/nCovNow	gangjun06	User		2020-02-02	Vue		FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	0	0	0	1	2	2	0	0	0	0	0
https://github.com/pzhaonet/travis-ncov	download ncove data with r automatically.		pzhaonet/travis-ncov	pzhaonet	User		2020-02-01	R		FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	0	1	1	1	9	9	0	0	0	0	0
https://github.com/eMALI-IO/2019-nCoV	2019-ncov dataset		eMALI-IO/2019-nCoV	eMALI-IO	Organization	""	2020-02-03			FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	0	0	0	1	5	5	0	0	0	0	0
https://github.com/exqlnet/2019-nCoV-spider	新型冠状病毒数据爬虫		exqlnet/2019-nCoV-spider	exqlnet	User		2020-02-01	Python		FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	0	0	0	1	2	2	0	0	0	0	0
https://github.com/arnoudbuzing/wolfram-coronavirus	wolfram language code and notebooks related to the coronavirus outbreak	ncov-2019, wolfram-language, wuhan, mathematica, 2019-ncov, data-science, coronavirus, wuhan-coronavirus-outbreak, coronavirus-tracking	arnoudbuzing/wolfram-coronavirus	arnoudbuzing	User		2020-01-31	Mathematica	mit	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	0	2	2	1	26	25	0	0	1	0	0
https://github.com/thegreatjavascript/2019-nCoV-News-Server	backend server		thegreatjavascript/2019-nCoV-News-Server	thegreatjavascript	Organization	make javascript great again	2020-01-24		mit	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	0	0	0	1	1	1	0	0	0	0	0
https://github.com/ChinaVIrus/2019-ncov-infos			ChinaVIrus/2019-ncov-infos	ChinaVIrus	User		2020-01-26			FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	0	0	0	1	1	1	0	0	0	0	0
https://github.com/nyem69/coronavirus_data	data from multiple sources	coronavirus	nyem69/coronavirus_data	nyem69	User		2020-01-30		mit	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	0	0	0	1	324	324	0	0	0	0	0
https://github.com/yuhanbae06/coronavirus			yuhanbae06/coronavirus	yuhanbae06	User		2020-02-02	HTML		TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	0	0	0	1	4	4	0	0	0	0	0
https://github.com/SongArduino/nCOV			SongArduino/nCOV	SongArduino	User		2020-01-29	HTML		TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	0	0	0	1	2	2	0	0	0	0	0
https://github.com/HuangJianxjtu/wuhan_2019_nCov			HuangJianxjtu/wuhan_2019_nCov	HuangJianxjtu	User		2020-01-22	HTML		FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	0	0	0	1	2	2	0	0	0	0	0
https://github.com/mot200286mot/CoronaVirus	программа мониторит данные по вирусу в реальном времени		mot200286mot/CoronaVirus	mot200286mot	User		2020-01-28			FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	0	0	0	1	1	1	0	0	0	0	0
https://github.com/2020-nCoV/crawler-Hospital	获取所有定点医院信息		2020-nCoV/crawler-Hospital	2020-nCoV	Organization	""	2020-02-01	Python		FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	0	0	0	1	2	2	0	0	0	0	0
https://github.com/Yuriyama/Coronavirus			Yuriyama/Coronavirus	Yuriyama	User		2020-01-27	Jupyter Notebook		FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	0	0	0	1	7	7	0	0	0	0	0
https://github.com/Vopaaz/nCov-transportation-subscriber	新型冠状病毒患者同行订阅查询工具。wuhan coronavirus transportation subscriber.		Vopaaz/nCov-transportation-subscriber	Vopaaz	User		2020-02-01	Go	mit	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	0	0	0	1	2	2	0	0	0	0	0
https://github.com/JohnNiang/2019-nCoV	2019-ncov mail notification demo		JohnNiang/2019-nCoV	JohnNiang	User		2020-01-25	Java		FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	1	1	1	1	6	6	0	0	0	0	0
https://github.com/ncov-2019/ncov-2019.cn	ncov-2019.cn		ncov-2019/ncov-2019.cn	ncov-2019	Organization		2020-01-24			TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	0	0	0	1	2	2	0	0	0	0	0
https://github.com/xyry/Wuhan-2019-nCov-Spider	wuhan 2019-ncov spider 简单爬虫使用beautfulsoup,以及在linux上使用crontab 每隔一小时执行一次		xyry/Wuhan-2019-nCov-Spider	xyry	User		2020-01-31	Python		FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	0	0	0	1	3	3	0	0	0	0	0
https://github.com/davy868/propagation-model-for-2019-nCov	propagation model for 2019-ncov  wuhan  coronavirus  and  estimation		davy868/propagation-model-for-2019-nCov	davy868	User		2020-01-31			FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	0	0	0	1	7	7	0	0	0	0	0
https://github.com/initiumdev/20200203-international-novel-coronavirus-live			initiumdev/20200203-international-novel-coronavirus-live	initiumdev	User		2020-02-02	CSS		FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	0	0	0	1	12	12	0	0	0	0	0
https://github.com/Cansll/ncovnews.js	在网页中实时显示全国的新型冠状病毒肺炎疫情数据。数据来自360.	javascript, ncov-2019	Cansll/ncovnews.js	Cansll	User		2020-02-02	JavaScript	mit	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	0	0	0	1	3	3	0	0	0	0	0
https://github.com/Moelf/2019-nCov			Moelf/2019-nCov	Moelf	User		2020-02-01	Jupyter Notebook		FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	0	0	0	1	4	4	0	0	0	0	0
https://github.com/mshyun/coronavirus	coronavirus news		mshyun/coronavirus	mshyun	User		2020-01-28			FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	1	1	0	1	1	1	0	0	0	0	0
https://github.com/MrZhengXin/fujian_2019_ncov_virus_warning	very simple and naive python program based on selenium.		MrZhengXin/fujian_2019_ncov_virus_warning	MrZhengXin	User		2020-01-22	Python	mit	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	0	0	0	1	2	2	0	0	0	0	0
https://github.com/johnny-lee1255/2019-ncov			johnny-lee1255/2019-ncov	johnny-lee1255	User		2020-02-03		gpl-3.0	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	0	0	0	1	1	1	0	0	0	0	0
https://github.com/19nCoV/19ncov	武汉加油 ヾ(◍°∇°◍)ﾉﾞ		19nCoV/19ncov	19nCoV	Organization	2019武汉新型冠状病毒手册	2020-01-26			TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	0	0	0	1	31	31	0	0	0	0	0
https://github.com/sijiali57/coronavirus_data	this repo contains daily updated coronavirus data		sijiali57/coronavirus_data	sijiali57	User		2020-01-31	Python		FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	0	2	2	1	11	11	0	0	0	0	0
https://github.com/fabhiansan/ncov	ncov three.js		fabhiansan/ncov	fabhiansan	User		2020-02-02	HTML		FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	0	0	0	1	3	3	0	0	0	0	0
https://github.com/oisincoveney/KaggleNotebooks	my foray into data science with kaggle.		oisincoveney/KaggleNotebooks	oisincoveney	User		2020-01-22			FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	0	0	0	1	1	1	0	0	0	0	0
https://github.com/maksim72/coronavirus-website			maksim72/coronavirus-website	maksim72	User		2020-02-03	HTML		TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	0	0	0	1	6	6	0	0	0	0	0
https://github.com/flykeying/2019ncov			flykeying/2019ncov	flykeying	User		2020-01-25		mit	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	0	0	0	1	1	1	0	0	0	0	0
https://github.com/jwktls/Coronavirus_ios			jwktls/Coronavirus_ios	jwktls	User		2020-01-30	Swift		FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	0	0	0	1	16	16	0	0	0	0	0
https://github.com/leonyuan66/2019-nCoV-Country	2019新型冠状病毒 ncov with right countrys		leonyuan66/2019-nCoV-Country	leonyuan66	User		2020-01-29			FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	0	0	0	1	3	3	0	0	0	0	0
https://github.com/niuyishuai/wuhan-nCov-predictor	matlab code for predicting the progress of wuhan 2019-ncov using neural network and curve fittings.		niuyishuai/wuhan-nCov-predictor	niuyishuai	User		2020-02-01	MATLAB	mit	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	0	0	0	1	14	14	0	0	0	0	0
https://github.com/minicloudsky/2019_nCov	新型冠状病毒感染数据可视化		minicloudsky/2019_nCov	minicloudsky	User		2020-01-22		mit	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	0	0	0	1	1	1	0	0	0	0	0
https://github.com/SuriousCompany/CoronavirusObserver			SuriousCompany/CoronavirusObserver	SuriousCompany	Organization		2020-01-29		gpl-3.0	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	0	0	0	1	21	21	0	0	0	0	0
https://github.com/cooerson/2019-nCoV	一个对抗武汉肺炎的中药方子	coronavirus, 2019-ncov	cooerson/2019-nCoV	cooerson	User		2020-01-31			FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	0	1	1	1	11	11	0	0	0	0	0
https://github.com/SuperSt3ve/coronavirus	information and live tracking of the new coronavirus.		SuperSt3ve/coronavirus	SuperSt3ve	User		2020-02-01	HTML		TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	0	0	0	1	6	6	0	0	0	0	0
https://github.com/tzmhuang/nCovProject2020			tzmhuang/nCovProject2020	tzmhuang	User		2020-01-29		apache-2.0	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	0	0	0	1	2	2	0	0	0	0	0
https://github.com/alex-stout/2019-nCoV	api to monitor the live statistics of the 2019-ncov		alex-stout/2019-nCoV	alex-stout	User		2020-01-24			FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	0	0	0	1	1	1	0	0	0	0	0
https://github.com/sendtion/NCov	2020新型冠状病毒实时动态查询		sendtion/NCov	sendtion	User		2020-01-31	Java		FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	0	0	0	1	1	1	0	0	0	0	0
